,문서개정이력,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,NO,버전,날짜,개정사유(1),개정내역(2),작성자,,,,,,,,,,,,,,,
,1,1.0 ,1/7/26,제정,초안작성,이상인,,,,,,,,,,,,,,,
,2,1.1 ,1/28/26,신규,업무별 테스크 추가,김인호,,,,,,,,,,,,,,,
,3,1.2 ,3/10/26,신규,업무별 테스크 추가,김인호,,,,,,,,,,,,,,,
,4,1.3 ,3/25/26,추가,시루정보 업무 일정 반영,김인호,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,(1)내용 : 개정이 발생하는 페이지 번호와 변경 내용을 기술,,,,,,,,,,,,,,,,,,,,
