,,온누리상품권 홈페이지 소비데이터 고도화 사업,,,,,,,,,.jsp .js,Controller.java,Service.java,ServiceImpl.java,Dao.java,Dto.java,Dao_sql.xml,,,,,,,,,,,,,,프로그램 사양서(목록),,,,
,,,,,,,,,,,,,,,,mapper vs XML 는 1:1,,,,,,,,,,,,,,,,,,,
"채널구분
(WBS Dep 2)","업무기능 Level 1
(WBS Dep3)","업무기능 Level 2
(WBS Dep 4) ","업무기능 Level 3
(WBS Dep 5) ","업무
기능
Level 4","업무
기능
Level 5",구분,중요도,화면명/(배치&서버&IF 프로그램명),화면ID,프로그램ID,Presentation Layer,,Business Layer,,Data Access Layer,,,Table ID,개발계획일정,,,,,단위테스트일정,,,,,,,비고,I/F ID (참고용),프로그램ID (참고용),,진척율
,,,,,,,,,,,View,Controller,Service,ServiceImpl,Mapper,DTO(Object)-vo,XML,,계획시작일,계획종료일,실제시작일,실제종료일,개발자,계획시작일,계획종료일,실제시작일,실제종료일,테스터,,성공여부,,,,UT케이스ID,
,,,,,,,,,,,"파일명(JSP, REACT)",파일명,파일명,파일명,~DAO.java,파일명,SQL 문,파일명,,,,,,,,,,개발자,PL,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 선별 관리,,화면(Web),중,행사 선별 관리 목록 화면,SCR_SEE_ADM_042,,src/main/resources/templates/html/contents/festival/filter-list.html,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,"Search
Pageable
FestivalFilterDto
RequestList",selectFestivalFilterList,TB_PTM_FESTIVAL_INFO_M,4/6/26,4/10/26,,,정진솔,,,,,정진솔,백상용,,,,,,100%
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 선별 관리,,화면(Web),중,행사 선별 관리 상세 화면,SCR_SEE_ADM_043,,src/main/resources/templates/html/contents/festival/filter-detail.html,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,FestivalFilterDto,selectFestivalFilterDetail,"TB_PTM_FESTIVAL_INFO_M
TB_PTM_FESTIVAL_POST_M
TB_PTM_FESTIVAL_IMG_M
TB_TUSR_USER_M
TB_PTM_FESTIVAL_FILTER_H",4/6/26,4/10/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 선별 관리,,인터페이스,상,행사 선별 관리 목록 조회,,SSP_SEE_ADM_048,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,"Search
Pageable
FestivalFilterDto
RequestList",selectFestivalFilterList,TB_PTM_FESTIVAL_INFO_M,4/6/26,4/10/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 선별 관리,,인터페이스,상,행사 선별 선정 상세 조회,,SSP_SEE_ADM_049,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,FestivalFilterDto,selectFestivalFilterDetail,"TB_PTM_FESTIVAL_INFO_M
TB_PTM_FESTIVAL_POST_M
TB_PTM_FESTIVAL_IMG_M
TB_TUSR_USER_M
TB_PTM_FESTIVAL_FILTER_H",4/6/26,4/10/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 선별 관리,,인터페이스,상,행사 선별 선정 관리,,SSP_SEE_ADM_050,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,FestivalFilterDto,updateFestivalFilterDetail,"TB_PTM_FESTIVAL_INFO_M
TB_PTM_FESTIVAL_POST_M
TB_PTM_FESTIVAL_IMG_M
TB_TUSR_USER_M",4/6/26,4/10/26,,,정진솔,,,,,정진솔,백상용,,,,,,
디지털온누리 통합포털 개발,"온누리상품권 누리집
2026 상반기 개편",관리 사이트 개발,콘텐츠 관리,행사 선별 관리,,인터페이스,상,행사 선별 선정 이력 적재,,SSP_SEE_ADM_051,,FestivalController,FestivalService,FestivalServiceImpl,FestivalMapper,FestivalFilterHistoryDto,insertFestivalFilterHistory,TB_PTM_FESTIVAL_FILTER_H,4/6/26,4/17/26,,,정진솔,,,,,정진솔,백상용,,,,,,
